date,Service,Pod Name,message
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at brave.servlet.TracingFilter.doFilter(TracingFilter.java:82)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1610)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.common.util.filter.RequestCaptureFilter.doFilter(RequestCaptureFilter.java:62)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1610)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.common.util.filter.ContentTypeFilter.doFilter(ContentTypeFilter.java:44)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1610)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at spark.servlet.SparkFilter.doFilter(SparkFilter.java:173)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at spark.http.matching.MatcherFilter.doFilter(MatcherFilter.java:130)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at spark.http.matching.Routes.execute(Routes.java:61)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at spark.RouteImpl$1.handle(RouteImpl.java:72)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.resource.DeployAutomationResource.deployAutomation(DeployAutomationResource.java:30)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.service.impl.DeployAutomationServiceImpl.deployAutomation(DeployAutomationServiceImpl.java:72)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.service.impl.DeployAutomationServiceImpl.createScheduleAutomation(DeployAutomationServiceImpl.java:153)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.sun.proxy.$Proxy234.createScheduleAutomation(Unknown Source)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.JdkDynamicAopProxy.invoke(JdkDynamicAopProxy.java:212)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:95)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:98)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction(TransactionAspectSupport.java:295)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:175)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.aspectj.AspectJAfterThrowingAdvice.invoke(AspectJAfterThrowingAdvice.java:62)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:175)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.adapter.AfterReturningAdviceInterceptor.invoke(AfterReturningAdviceInterceptor.java:55)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:198)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:344)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at java.base/java.lang.reflect.Method.invoke(Method.java:566)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.service.impl.AutomationServiceImpl.createScheduleAutomation(AutomationServiceImpl.java:337)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.service.impl.AutomationServiceImpl.throwExceptionIfNotSufficientPermissionToCreateScheduleOnFile(AutomationServiceImpl.java:1053)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.adapter.impl.SchedulerPermissionAdapterImpl.hasPermissionToRunBot(SchedulerPermissionAdapterImpl.java:143)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.adapter.impl.SchedulerPermissionAdapterImpl.hasPermissionToRunBot(SchedulerPermissionAdapterImpl.java:221)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.scheduler.adapter.impl.SchedulerPermissionAdapterImpl.hasPermission(SchedulerPermissionAdapterImpl.java:215)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.auth.service.proxy.PermissionServiceProxy.findBySubjectIdTypeAndAction(PermissionServiceProxy.java:32)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.auth.service.proxy.PermissionServiceProxy.getPermissionServiceBlockingStub(PermissionServiceProxy.java:17)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.grpc.ServiceAPIClient.create(ServiceAPIClient.java:226)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at com.automationanywhere.grpc.ServiceAPIClient.<init>(ServiceAPIClient.java:104)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at io.grpc.internal.AbstractManagedChannelImplBuilder.build(AbstractManagedChannelImplBuilder.java:518)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at io.grpc.internal.ManagedChannelOrphanWrapper.<init>(ManagedChannelOrphanWrapper.java:44)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at io.grpc.internal.ManagedChannelOrphanWrapper.<init>(ManagedChannelOrphanWrapper.java:53)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,at io.grpc.internal.ManagedChannelOrphanWrapper$ManagedChannelReference.<init>(ManagedChannelOrphanWrapper.java:93)
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,java.lang.RuntimeException: ManagedChannel allocation site
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,Make sure to call shutdown()/shutdownNow() and wait until awaitTermination() returns true.
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,"SEVERE: *~*~*~ Channel ManagedChannelImpl{logId=115, target=localhost:5688} was not shutdown properly!!! ~*~*~*"
2020-06-25T08:21:32.276Z,kernel,raghavendramooram-kernel-78f975475-fmf9q,"ANTLR Tool version 4.8 used for code generation does not match the current runtime version 4.7.2ANTLR Tool version 4.8 used for code generation does not match the current runtime version 4.7.2Jun 25, 2020 8:21:32 AM io.grpc.internal.ManagedChannelOrphanWrapper$ManagedChannelReference cleanQueue"
